X,Y,id,nom,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-77.0366655896331,38.8996195677959,"11",expo,"0","0","0","0",0.00000000000000,260.33339052630987
-77.0366659083459,38.8996204607305,"11",expo,"1","0","0","1",0.00000094810865,35.20298818573855
-77.0364331842664,38.8996202623006,"11",expo,"2","0","0","2",0.00023367227275,45.04379792914340
-77.0364329292962,38.8999973277122,"11",expo,"3","0","0","3",0.00061073777056,46.56212270451270
-77.0363298575797,38.8999917717044,"11",expo,"4","0","0","4",0.00071395912469,91.66197516508807
-77.0362344987129,38.8999913748466,"11",expo,"5","0","0","5",0.00080931881738,92.97955047024386
-77.0361017867069,38.8999780801117,"11",expo,"6","0","0","6",0.00094269507648,97.61846228609375
-77.0359834167766,38.8999582372192,"11",expo,"7","0","0","7",0.00106271666120,102.22601632244596
-77.035857142769,38.8999245538964,"11",expo,"8","0","0","8",0.00119340595385,106.79389072855452
-77.035685930258,38.8998667614129,"11",expo,"9","0","0","9",0.00137410928830,109.52428328362694
-77.0356170882953,38.8998411640404,"11",expo,"10","0","0","10",0.00144755614875,115.44410839430041
-77.0355306533865,38.8997902669118,"11",expo,"11","0","0","11",0.00154786323302,124.23880706551142
-77.0354556283957,38.8997316806006,"11",expo,"12","0","0","12",0.00164305307022,135.54424702432132
-77.0354291114915,38.8996963601255,"11",expo,"13","0","0","13",0.00168721959792,146.15365845686838
-77.0354053992599,38.8996565749625,"11",expo,"14","0","0","14",0.00173353513656,155.18744618508256
-77.0353806671474,38.899584048835,"11",expo,"15","0","0","15",0.00181016226337,167.30742166237982
-77.0353750578023,38.8995352350386,"11",expo,"16","0","0","16",0.00185929729646,179.08550248179893
-77.0353781174451,38.8994982278087,"11",expo,"17","0","0","17",0.00189643079178,187.00255374666551
-77.0353875513437,38.8994404845858,"11",expo,"18","0","0","18",0.00195493957943,194.22599146760811
-77.0354097337539,38.8993766891836,"11",expo,"19","0","0","19",0.00202248151211,206.95178490185015
-77.0354480430313,38.8993214262461,"11",expo,"20","0","0","20",0.00208972430353,221.70736189558457
-77.0355051563633,38.899271223253,"11",expo,"21","0","0","21",0.00216576556347,234.03966575707059
-77.0355938860042,38.8992187382677,"11",expo,"22","0","0","22",0.00226885592599,241.89501032587367
-77.0356569273941,38.8991885271386,"11",expo,"23","0","0","23",0.00233876250055,246.18899573285569
-77.0357252594164,38.8991608956019,"11",expo,"24","0","0","24",0.00241246980740,249.04707883996727
-77.0358612860353,38.8991116846519,"11",expo,"25","0","0","25",0.00255712442593,253.17711188399491
-77.0359950179222,38.8990789434768,"11",expo,"26","0","0","26",0.00269480595016,257.18697111738953
-77.036090376789,38.8990589019015,"11",expo,"27","0","0","27",0.00279224812906,261.39521630303517
-77.0362241086759,38.8990464007181,"11",expo,"28","0","0","28",0.00292656304690,266.41457376175924
-77.0364352240282,38.8990396540467,"11",expo,"29","0","0","29",0.00313778617432,314.24244838378087
