X,Y,id,nom,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-77.0368525465561,38.8975579008196,"1",meridian,"0","0","0","0",0.00000000000000,288.94627398876116
-77.0368531202391,38.8975583472998,"1",meridian,"1","0","0","1",0.00000072695035,334.03879927602549
-77.0368523553284,38.8977951798643,"1",meridian,"2","0","0","2",0.00023756075008,44.95636926885005
-77.0366435984507,38.8977961720393,"1",meridian,"3","0","0","3",0.00044631998559,44.79993807550073
-77.0366438534209,38.8979104705043,"1",meridian,"4","0","0","4",0.00056061873498,44.93609409391499
-77.036455175449,38.8979104705043,"1",meridian,"5","0","0","5",0.00074929670687,134.87274115572839
-77.0364546655086,38.8977956759518,"1",meridian,"6","0","0","6",0.00086409239200,134.81666900739523
-77.0362519004313,38.8977960728218,"1",meridian,"7","0","0","7",0.00106685785764,134.94392785166684
-77.0362519004313,38.8975575039483,"1",meridian,"8","0","0","8",0.00130542673116,225.05880846523183
-77.03644523161,38.8975579008196,"1",meridian,"9","0","0","9",0.00149875831716,232.26482507367689
-77.0364477813123,38.8975479790359,"1",meridian,"10","0","0","10",0.00150900247521,206.30162272075867
-77.0364554304193,38.8975382556865,"1",meridian,"11","0","0","11",0.00152137390848,210.35222176241297
-77.0364592549727,38.8975290284251,"1",meridian,"12","0","0","12",0.00153136237992,164.03968056019573
-77.0364184597356,38.8974998583652,"1",meridian,"13","0","0","13",0.00158151358901,179.93626049948662
-77.0364681789308,38.8974641399081,"1",meridian,"14","0","0","14",0.00164273292055,245.56738091297311
-77.0365046396741,38.8974556071629,"1",meridian,"15","0","0","15",0.00168017879531,302.22028761204757
-77.0365097390787,38.8974788241648,"1",meridian,"16","0","0","16",0.00170394922035,30.53891613783839
-77.0364850069662,38.8974861662921,"1",meridian,"17","0","0","17",0.00172974813936,63.33551769457738
-77.0364653742583,38.8975008505443,"1",meridian,"18","0","0","18",0.00175426487817,354.98204594800188
-77.0364834771448,38.8975099785914,"1",meridian,"19","0","0","19",0.00177453889464,272.74795929972191
-77.0365120338108,38.897498866186,"1",meridian,"20","0","0","20",0.00180518149124,252.19654523153827
-77.0365343437062,38.8974931611558,"1",meridian,"21","0","0","21",0.00182820927446,260.54070749418236
-77.036561625521,38.8974909783615,"1",meridian,"22","0","0","22",0.00185557827177,271.48118059910882
-77.0365871225442,38.8974943517709,"1",meridian,"23","0","0","23",0.00188129748799,283.93588086471340
-77.0366031856689,38.8975003048458,"1",meridian,"24","0","0","24",0.00189842825197,292.96319167539292
-77.036619758734,38.8975082422782,"1",meridian,"25","0","0","25",0.00191680403275,263.36863034526175
-77.0366342920372,38.8974965345651,"1",meridian,"26","0","0","26",0.00193546649373,176.72642100169818
-77.0366179739424,38.897486215901,"1",meridian,"27","0","0","27",0.00195477335901,115.30866427281013
-77.0365855927229,38.8974755003637,"1",meridian,"28","0","0","28",0.00198888151223,157.70643701439261
-77.0365975763238,38.8974520849248,"1",meridian,"29","0","0","29",0.00201518530421,249.01631679363277
-77.0366421961144,38.897469150415,"1",meridian,"30","0","0","30",0.00206295722771,297.86246220695500
-77.0366796767386,38.8974951951232,"1",meridian,"31","0","0","31",0.00210859848111,356.81834769300133
-77.0366444908465,38.8975259526711,"1",meridian,"32","0","0","32",0.00215533255599,8.87348697163242
-77.0366503551618,38.8975356760221,"1",meridian,"33","0","0","33",0.00216668745584,322.20439596221257
-77.0366569843879,38.8975424228364,"1",meridian,"34","0","0","34",0.00217614611010,319.38904924625371
-77.0366615738521,38.8975485743429,"1",meridian,"35","0","0","35",0.00218382101822,333.99216605748887
